,ow_id,ow_term,ow_gloss,ow_trans,ow_lan_id,ow_lan_name
0,1,GEMET Environmental Thesaurus Relation Types,GEMET Environmental Thesaurus Relation Types,Beziehungstypen des GEMET-Umwelt-Thesaurus,101,German
1,1,GEMET Environmental Thesaurus Relation Types,GEMET Environmental Thesaurus Relation Types,JEMET-Ömwält-Tesauros-Bezöschszoote,134,Kölsch
2,1,GEMET Environmental Thesaurus Relation Types,GEMET Environmental Thesaurus Relation Types,Typos de relation del thesauro ambiental GEMET,210,Interlingua
3,1,GEMET Environmental Thesaurus Relation Types,GEMET Environmental Thesaurus Relation Types,GEMET Environmental Thesaurus Relation Types,85,English
4,1,GEMET Environmental Thesaurus Relation Types,GEMET Environmental Thesaurus Relation Types,types de relations du thésaurus environnemental GEMET,86,French
5,1,GEMET Environmental Thesaurus Relation Types,GEMET Environmental Thesaurus Relation Types,tipo de relación del tesauro sobre el ambiente GEMET,87,Castilian
6,1,GEMET Environmental Thesaurus Relation Types,GEMET Environmental Thesaurus Relation Types,GEMET-omgevingsthesaurusrelatietypen,89,Dutch
7,3,is part of theme,An entry in a thesaurus or dictionary that is associated with a theme,је саставни део теме,128,Serbian (Cyrillic script)
8,3,is part of theme,An entry in a thesaurus or dictionary that is associated with a theme,je sastavni deo teme,129,Serbian (Latin script)
9,3,is part of theme,An entry in a thesaurus or dictionary that is associated with a theme,jehüürt bei et Teema,134,Kölsch
